reduced_comp,id,energyperatom,decomp_energy,oxidation,reduction,stability_window,cond_ion_vol
NaSc3(I4Cl)2,Na1Sc3Cl2I8_icsd_067711_1,-3.733,-0.123,5.0,1.4203,3.5797,0.0583967222629974
LiSc3(I4Br)2,Li1Sc3Br2I8_icsd_067711_1,-3.502,-0.1017,5.0,4.2431,0.7569,0.0594505814640502
LiSc3(IBr4)2,Li1Sc3Br8I2_icsd_067711_1,-3.984,-0.2583,5.0,1.2033,3.7967,0.0581171919521513
LiAl3(IBr4)2,Li1Al3Br8I2_icsd_020114_1,-3.195,-0.1059,5.0,2.2047,2.7953,0.0470504322025357
NaSc3(IBr4)2,Na1Sc3Br8I2_icsd_067711_1,-3.96,-0.2617,5.0,1.0493,3.9507,0.0529012346141492
KSc3(I4Br)2,K1Sc3Br2I8_icsd_067711_1,-3.534,-0.1564,5.0,5.0,0.0,0.0693632273764509
KSc3(BrF4)2,K1Sc3F8Br2_icsd_067711_1,-5.736,-0.2506,5.0,5.0,0.0,0.077860379964103
NaSc3(BrF4)2,Na1Sc3F8Br2_icsd_067711_1,-5.746,-0.118,5.0,5.0,0.0,0.0612330497709815
LiAl3(Br4Cl)2,Li1Al3Cl2Br8_icsd_020114_1,-3.387,-0.1154,5.0,2.431,2.569,0.0460870447692739
KAlS2,K1Al1S2_icsd_170788_1,-4.586,-0.1112,2.9635,0.9027,2.0608,0.3134114640219282
KScS2,K1Sc1S2_icsd_262056_1,-5.401,-0.1088,2.6508,-0.0,2.6508,0.3057835712055348
LiSc2TiF11,Li1Sc2Ti1F11_icsd_081223_1,-6.199,-0.2666,5.0,3.0907,1.9093,0.0510578614588076
NaHfSc2Br11,Na1Sc2Hf1Br11_icsd_081223_1,-4.005,-0.455,5.0,3.0467,1.9533,0.05959901035395
LiHfAl2Br11,Li1Hf1Al2Br11_icsd_081223_1,-3.519,-0.3081,5.0,3.3118,1.6882,0.0502249763856554
KY2HfBr11,K1Y2Hf1Br11_icsd_081223_1,-4.204,-0.4667,5.0,3.457,1.543,0.0606602228668048
KHfAl2Br11,K1Hf1Al2Br11_icsd_081223_1,-3.606,-0.3814,5.0,2.9799,2.0201,0.061571415325953
LiY2HfBr11,Li1Y2Hf1Br11_icsd_081223_1,-4.212,-0.4873,5.0,2.4115,2.5885,0.0522098864375493
LiTi2ZnF11,Li1Ti2Zn1F11_icsd_078867_1,-5.448,-0.2304,5.0,3.6607,1.3393,0.0541493371232848
LiHfSc2Br11,Li1Sc2Hf1Br11_icsd_081223_1,-4.079,-0.5537,5.0,2.2705,2.7295,0.0588435085994466
KHfSc2Br11,K1Sc2Hf1Br11_icsd_081223_1,-4.026,-0.4393,5.0,4.3605,0.6395,0.0633340932003207
NaSc2TiF11,Na1Sc2Ti1F11_icsd_081223_1,-6.146,-0.2923,5.0,2.3557,2.6443,0.0571726262197718
NaY2HfBr11,Na1Y2Hf1Br11_icsd_081223_1,-4.188,-0.4813,5.0,2.553,2.447,0.0563478072732735
Na2ZrS3,Na2Zr1S3_icsd_412158_1,-5.098,-0.1165,2.3295,0.4974,1.8321,0.3655991427404521
Na2HfO3,Na2Hf1O3_icsd_025019_1,-6.937,-0.1673,2.9538,-0.0,2.9538,0.380395357753754
LiTi2N3,Li1Ti2N3_icsd_088097_1,-7.728,-0.1096,1.954,0.639,1.315,0.1838651985530046
Na2ZrO3,Na2Zr1O3_icsd_025019_1,-6.597,-0.1544,2.9245,-0.0,2.9245,0.3774438271060886
Na2HfS3,Na2Hf1S3_icsd_261236_1,-5.37,-0.1189,2.4281,0.4539,1.9742,0.3680741857871233
LiZn4W2N7,Li1W2Zn4N7_icsd_100778_1,-6.362,-0.1518,4.6113,1.4279,3.1834,0.0801565204628999
LiHf2Br7O,Li1Hf2Br7O1_icsd_161499_2,-4.869,-0.1276,5.0,2.0456,2.9544,0.0717183308016842
KWNF4,K1W1F4N1_icsd_072740_1,-6.137,-0.1454,3.8256,2.2306,1.595,0.1791509036448242
NaTi2F9,Na1Ti2F9_icsd_084364_1,-5.776,-0.3327,5.0,2.9437,2.0563,0.0810424267479977
KTi2F9,K1Ti2F9_icsd_084364_1,-5.816,-0.3645,5.0,2.5482,2.4518,0.0990972126189314
K2GeWN4,K2W1Ge1N4_icsd_034564_1,-6.583,-0.1081,1.4229,0.434,0.9889,0.3458749990722965
LiTiF5,Li1Ti1F5_icsd_064674_2,-5.725,-0.1791,5.0,3.0518,1.9482,0.1101790242750202
K6P4W,K6W1P4_icsd_280584_1,-3.87,-0.1008,0.7571,0.0959,0.6613,0.6353779102141813
Li2HfN2,Li2Hf1N2_Li2Hf1N2_sg71_icsd_641302_2_1,-6.927,-0.1266,1.2,-0.0,1.2,0.4127093906922934
Li2HfBr6,Li2Hf1Br6_Zn1Sb2S6_sg148_icsd_078684_1_1,-3.952,-0.1167,4.63,1.3193,3.3107,0.1521412382940143
Li2ZrBr6,Li2Zr1Br6_Zn1Sb2S6_sg148_icsd_078684_1_1,-3.77,-0.1178,4.389,1.7546,2.6344,0.1520335698219395
K3WS3N,K3W1S3N1_icsd_098651_1,-5.178,-0.122,1.8536,1.0216,0.832,0.4354638061342132
LiYSc2(Br4F)2,Li1Sc2Y1F2Br8_icsd_408052_1,-4.548,-0.1444,5.0,3.306,1.694,0.063113178503525
LiY2Sc(Br4Cl)2,Li1Sc1Y2Cl2Br8_icsd_408052_1,-4.331,-0.1282,5.0,3.1869,1.8131,0.0638395001489871
NaY2Sc(Br4Cl)2,Na1Sc1Y2Cl2Br8_icsd_408052_1,-4.293,-0.1078,5.0,3.9732,1.0268,0.0749117751407581
LiLa(PN2)4,Li1La1N8P4_icsd_280042_2,-7.517,-0.1488,5.0,2.0556,2.9444,0.0834961328325553
NaLa(PN2)4,Na1La1N8P4_icsd_001838_1,-7.497,-0.1895,5.0,0.7279,4.2721,0.1044037600105961
NaY(PN2)4,Na1Y1N8P4_icsd_037011_1,-7.581,-0.1269,4.9383,0.8309,4.1073,0.1050511724520315
K3BO3,K3B1O3_icsd_391170_1,-5.462,-0.1527,2.3278,-0.0,2.3278,0.5387734935744505
LiSc3(Br2F3)2,Li1Sc3F6Br4_icsd_060959_1,-5.368,-0.1374,5.0,3.032,1.968,0.0802184172457547
NaY2Br7,Na1Y2Br7_icsd_201429_1,-4.206,-0.83,5.0,0.9733,4.0267,0.0944263296173849
LiSc2Br7,Li1Sc2Br7_icsd_074876_1,-3.934,-0.6594,5.0,2.754,2.246,0.0518135601016704
LiAl2Br7,Li1Al2Br7_icsd_074876_1,-3.293,-0.5012,5.0,2.3353,2.6647,0.0621713755344749
LiSc2I7,Li1Sc2I7_icsd_074876_1,-3.405,-0.4382,5.0,2.6953,2.3047,0.0524033279852966
NaSc2I7,Na1Sc2I7_icsd_067168_1,-3.446,-0.5374,5.0,1.3507,3.6493,0.1201124279706058
KAl2Br7,K1Al2Br7_icsd_000012_1,-3.298,-0.523,5.0,2.6667,2.3333,0.1053728496623283
KSc2Br7,K1Sc2Br7_icsd_067168_1,-4.026,-0.7766,5.0,1.7293,3.2707,0.1271621697019816
KSc2I7,K1Sc2I7_icsd_067168_1,-3.492,-0.5504,5.0,1.7373,3.2627,0.1257712936618314
LiSc2F7,Li1Sc2F7_icsd_016350_1,-6.302,-1.7931,5.0,0.7064,4.2936,0.1099854275834762
KY2Br7,K1Y2Br7_icsd_201429_1,-4.252,-0.8412,5.0,1.402,3.598,0.1158250417096531
NaSc2F7,Na1Sc2F7_icsd_047227_1,-6.184,-1.758,5.0,0.88,4.12,0.1356836302963447
NaAl2Br7,Na1Al2Br7_icsd_050701_1,-3.272,-0.5264,5.0,2.0973,2.9027,0.0640490873276592
LiY2Br7,Li1Y2Br7_icsd_201429_1,-4.233,-0.8084,5.0,1.1873,3.8127,0.0953936517879463
NaSc2Br7,Na1Sc2Br7_icsd_067168_1,-3.971,-0.7522,5.0,1.5187,3.4813,0.1200755657386145
