id,reduced_comp,in_icsd,num_atoms,relaxed_volume,predicted_energy,vol_energyperatom,full_energyperatom,predicted_decomp,decomp_energy,sc_decomp_energy,mv_id,Formula,E_hull-m (eV/atom),Final M3GNet energy (eV),Form. Energy E_f (eV/atom),Band Gap E_g (eV),Bulk Modulus K (GPa),Shear Modulus G (GPa),Metal Prob.
Na1Cd1P1_icsd_009571_1,NaCdP,False,12,257.01,-2.8737,-2.8695,-2.869,-0.113,-0.1083,-0.0806,,,,,,,,,
K1Sc1Y2Br8I2_icsd_408052_1,KY2Sc(IBr4)2,False,28,1149.35,-3.623,,-4.099,-0.858,-1.3348,-0.0798,,,,,,,,,
Li1Sc3Cl1Br9_icsd_018100_2,LiSc3Br9Cl,False,28,1221.19,-3.8165,,-3.806,-1.1345,-1.124,-0.0791,,,,,,,,,
Li2Hf1W1N4_icsd_183705_1,Li2HfWN4,False,16,201.45,-7.8242,-7.7798,-7.845,-0.1018,-0.1227,-0.0744,,,,,,,,,
K2Zr1W1N4_icsd_015618_1,K2ZrWN4,False,16,314.51,-7.1162,-7.1713,-7.276,-0.2098,-0.3695,-0.0727,,,,,,,,,
Na1Y3Br9I1_icsd_018100_2,NaY3IBr9,False,28,1516.58,-3.923,-3.8804,-3.911,-1.081,-1.0691,-0.0714,,,,,,,,,
K3Al1S3_icsd_016534_1,K3AlS3,False,14,410.36,-4.0429,-4.047,-4.06,-0.2046,-0.2217,-0.0712,mv-22816410,K3AlS3,-0.216,-113.544,-1.549,2.952,23.3,8.9,0.0
Na4Zn1N2_icsd_067262_1,Na4ZnN2,False,7,116.91,-3.2572,-3.2595,-3.276,-0.1147,-0.1335,-0.0707,,,,,,,,,
Li2W1Ge1N4_icsd_193838_2,Li2GeWN4,False,16,198.18,-6.9845,-6.9391,-6.946,-0.1462,-0.1077,-0.0705,,,,,,,,,
Na1Sc3Br1I9_icsd_018100_2,NaSc3I9Br,False,28,1590.4,-3.2669,,-3.281,-0.8287,-0.8428,-0.0691,,,,,,,,,
Na1Zn1N1_icsd_073529_2,NaZnN,False,12,164.7,-3.684,-3.5818,-3.639,-0.1914,-0.1465,-0.0686,mp-1029357,NaZnN,0.094,-21.644,-0.116,-0.0,66.1,24.0,0.01
K1W1N4P1_icsd_083449_2,KPWN4,False,14,239.67,-7.5628,-7.5313,-7.603,-0.1645,-0.2047,-0.0683,,,,,,,,,
K1W1Zn1N3_icsd_047177_1,KZnWN3,False,12,174.64,-6.3963,-6.3426,-6.492,-0.2295,-0.3252,-0.0682,,,,,,,,,
K1Cd1P1_icsd_001130_5,KCdP,False,6,157.78,-2.844,-2.8079,-2.81,-0.1068,-0.0729,-0.0675,,,,,,,,,
Li1Sc2Al1Cl2Br8_icsd_422132_1,LiSc2Al(Br4Cl)2,False,28,898.78,-3.289,-3.2186,-3.87,-0.418,-0.999,-0.0671,,,,,,,,,
Na1Hf2Cl1Br8_icsd_027737_2,NaHf2Br8Cl,False,24,961.92,-3.978,-3.9444,-4.132,-0.976,-1.1305,-0.0661,,,,,,,,,
Na1Y1Al2Cl2Br8_icsd_408052_1,NaYAl2(Br4Cl)2,False,28,1002.68,-3.309,-3.2398,-3.674,-0.35,-0.7151,-0.0648,,,,,,,,,
Li1Sc1Y1Br7_icsd_408563_1,LiYScBr7,False,20,686.47,-4.0594,-4.0321,-4.147,-1.5344,-1.6219,-0.0635,,,,,,,,,
K2Sn1F6_icsd_062134_1,K2SnF6,False,36,712.66,-4.7286,-4.6759,-4.707,-0.2617,-0.2401,-0.0635,mv-23753134,K2SnF6,-0.006,-168.827,-3.042,5.307,19.3,9.3,0.0
Li2W1Si1N4_icsd_183705_2,Li2SiWN4,False,16,188.16,-7.4041,-7.3172,-7.352,-0.1354,-0.0833,-0.0626,,,,,,,,,
Li1Zr2N3_icsd_088097_1,LiZr2N3,False,24,295.08,-8.1733,-8.0648,-8.111,-0.1241,-0.0617,-0.0617,mp-1029297,LiZr2N3,0.0,-104.319,-1.532,1.145,125.8,33.5,0.0
K2Hf1Br6_icsd_035557_1,K2HfBr6,False,18,655.62,-3.8868,-3.8944,-3.903,-0.9891,-1.0053,-0.0607,mv-28209402,K2HfBr6,-0.042,-109.081,-1.612,3.096,7.9,3.0,0.0
Na2Zr1Br6_icsd_027016_1,Na2ZrBr6,False,27,903.47,-3.6537,-3.6346,-3.64,-0.1936,-0.1799,-0.0595,mv-28209246,Na2ZrBr6,-0.033,-103.335,-1.503,2.526,16.4,9.1,0.0
Li2Zr1S3_icsd_088097_1,Li2ZrS3,False,24,442.19,-5.3439,-5.3226,-5.332,-0.1043,-0.0924,-0.0594,mv-7214524,Li2ZrS3,-0.004,-133.384,-1.786,1.595,47.8,31.1,0.01
Na2Ti1Zn3N4_icsd_033279_1,Na2TiZn3N4,False,40,517.65,-4.8677,-4.8898,-4.907,-0.1078,-0.147,-0.0591,,,,,,,,,
K1Al3Br9I1_icsd_281588_2,KAl3IBr9,False,28,1329.18,-3.1065,-3.0359,-3.052,-0.8941,-0.8396,-0.0589,,,,,,,,,
K1Hf2Br8I1_icsd_027737_2,KHf2IBr8,False,24,1031.26,-3.969,-3.9383,-4.055,-1.0682,-1.1542,-0.0585,,,,,,,,,
Li1Hf2Br8I1_icsd_421981_1,LiHf2IBr8,False,24,945.63,-3.946,-3.865,-4.06,-1.015,-1.1291,-0.0584,,,,,,,,,
K2Zr1Br6_icsd_035557_1,K2ZrBr6,False,18,661.81,-3.7207,-3.7121,-3.722,-0.2261,-0.2274,-0.0576,mv-28209378,K2ZrBr6,-0.072,-105.331,-1.59,2.724,9.7,3.8,0.0
Na1Sc3F8Cl2_icsd_067711_1,NaSc3(ClF4)2,False,14,206.42,-5.5449,-5.5062,-5.859,-2.0011,-2.3152,-0.0572,,,,,,,,,
Na5Ti1N3_icsd_416952_1,Na5TiN3,False,36,564.65,-4.5009,-4.432,-4.46,-0.1445,-0.1037,-0.0557,,,,,,,,,
Li1Y1Al2F2Br8_icsd_408052_1,LiYAl2(Br4F)2,False,28,940.34,-3.42,-3.3759,-4.052,-0.271,-0.9028,-0.0538,,,,,,,,,
K1Hf1Br5_icsd_069563_1,KHfBr5,False,14,582.26,-4.0265,-4.0041,-4.011,-1.1965,-1.181,-0.0537,mv-20720542,KHfBr5,0.007,-118.654,-1.542,3.694,4.7,1.6,0.0
Na1Hf1Br5_icsd_069563_1,NaHfBr5,False,14,491.15,-3.9528,-3.9313,-3.954,-1.145,-1.1462,-0.0526,mv-20720410,NaHfBr5,0.047,-116.93,-1.466,3.843,11.4,4.0,0.0
Na2Hf1Br6_icsd_027016_1,Na2HfBr6,False,27,898.28,-3.8251,-3.8142,-3.82,-0.9619,-0.9568,-0.0512,mv-28209270,Na2HfBr6,-0.002,-107.079,-1.506,3.143,15.8,7.5,0.0
Na1Y2Al1Br8I2_icsd_408052_1,NaY2Al(IBr4)2,False,28,1267.02,-3.2803,-3.2676,-3.797,-0.4081,-0.9248,-0.0504,,,,,,,,,
Li1Sc1Al2F2Br8_icsd_408052_1,LiScAl2(Br4F)2,False,28,907.85,-3.34,-3.2741,-3.967,-0.347,-0.9738,-0.0503,,,,,,,,,
K1Sc2Y1Cl2Br8_icsd_408052_1,KYSc2(Br4Cl)2,False,28,1055.32,-3.813,-3.7417,-4.159,-0.847,-1.193,-0.0502,,,,,,,,,
Li1La1Hf2N4_icsd_097557_2,LiLaHf2N4,False,16,205.01,-8.4206,-8.4758,-8.489,-0.1629,-0.2313,-0.0492,,,,,,,,,
K2W1Zn2N4_icsd_074020_1,K2Zn2WN4,False,36,579.95,-5.4026,-5.3951,-5.569,-0.1527,-0.3192,-0.049,,,,,,,,,
Na1Sc1N8P4_icsd_037011_1,NaSc(PN2)4,False,14,149.42,-7.5231,-7.47,-7.509,-0.1071,-0.093,-0.0485,,,,,,,,,
Na1Sc2Sn1F11_icsd_078867_1,NaSc2SnF11,False,15,225.76,-5.7552,-5.619,-5.725,-2.0486,-2.0184,-0.0465,,,,,,,,,
Na1Al3Br9I1_icsd_028012_2,NaAl3IBr9,False,28,1187.91,-3.062,-2.9941,-3.021,-0.8607,-0.8197,-0.0464,,,,,,,,,
K2Si1S3_icsd_409804_1,K2SiS3,False,12,340.87,-4.4914,-4.457,-4.464,-0.2866,-0.2592,-0.0463,mv-20528916,K2SiS3,-0.242,-106.808,-1.459,3.016,26.0,10.5,0.0
Na1Sc1Al2Cl2Br8_icsd_408052_1,NaScAl2(Br4Cl)2,False,28,987.0,-3.22,-3.1248,-3.589,-0.331,-0.7,-0.0462,,,,,,,,,
K1Sc1Al2Cl2Br8_icsd_408052_1,KScAl2(Br4Cl)2,False,28,1061.78,-3.265,-3.1735,-3.621,-0.541,-0.8967,-0.045,,,,,,,,,
K2Zr3S7_icsd_061050_1,K2Zr3S7,False,24,671.33,-5.8199,-5.82,-5.838,-0.1148,-0.1329,-0.0436,mv-6982577,K2Zr3S7,-0.09,-150.274,-1.887,1.21,29.0,12.9,0.01
Li1Sc3Br9I1_icsd_018100_2,LiSc3IBr9,False,28,1263.96,-3.775,-3.7352,-3.763,-1.292,-1.2798,-0.0431,,,,,,,,,
Li1Y1N8P4_icsd_280042_2,LiY(PN2)4,False,14,153.3,-7.6073,-7.504,-7.555,-0.145,-0.0927,-0.043,,,,,,,,,
Li1Hf2Cd1Br11_icsd_078867_1,LiHf2CdBr11,False,15,494.35,-3.6614,-3.6542,-3.673,-0.9584,-0.97,-0.0428,mv-5967959,LiHf2CdBr11,0.098,-58.942,-1.634,2.359,16.1,4.8,0.0
K1Zr1Br5_icsd_069563_1,KZrBr5,False,14,589.63,-3.8151,-3.7804,-3.786,-0.2177,-0.1886,-0.0424,mv-20720518,KZrBr5,-0.017,-113.232,-1.495,3.056,5.9,2.4,0.0
K2Zr1W3N8_icsd_020114_1,K2ZrW3N8,False,28,569.24,-7.9817,-7.9912,-8.073,-0.2132,-0.3046,-0.0421,,,,,,,,,
Li1Sc3Br6S2_icsd_412467_1,LiSc3(SBr3)2,False,24,666.78,-4.337,-4.3343,-4.681,-0.647,-0.9919,-0.0419,,,,,,,,,
K2Hf1W3N8_icsd_020114_1,K2HfW3N8,False,28,566.57,-8.083,-8.1014,-8.203,-0.1975,-0.3175,-0.0417,,,,,,,,,
K1Zr1Al2Br11_icsd_081223_1,KZrAl2Br11,False,15,838.49,-3.1694,-3.1489,-3.501,-0.4386,-0.7702,-0.0415,,,,,,,,,
K2Zn1S2_icsd_065454_1,K2ZnS2,False,10,269.43,-3.4095,-3.4073,-3.413,-0.1024,-0.1059,-0.0415,mp-1147773,K2ZnS2,0.0,-34.168,-1.329,2.505,22.0,15.1,0.0
Li1Al1Br4_icsd_165607_2,LiAlBr4,False,24,839.99,-3.3574,-3.3334,-3.338,-0.9372,-0.9179,-0.0413,mv-25752291,LiAlBr4,-0.036,-80.097,-1.314,4.186,10.7,4.6,0.0
Na2Zr1N2_icsd_095112_2,Na2ZrN2,False,5,88.95,-5.959,-5.8661,-5.879,-0.1672,-0.0873,-0.0409,mp-1029316,Na2ZrN2,0.042,-31.164,-0.826,0.001,68.1,16.6,0.9
K2Hf1S3_icsd_025019_1,K2HfS3,False,48,1241.99,-5.2543,-5.2739,-5.304,-0.1189,-0.1686,-0.0403,mv-22330241,K2HfS3,-0.169,-66.992,-1.8,2.487,24.1,14.4,0.0
K1Hf2Cl1Br8_icsd_027737_2,KHf2Br8Cl,False,24,1010.58,-4.0281,-3.9951,-4.141,-1.0137,-1.1266,-0.0402,,,,,,,,,
Li1Hf2Hg1Br11_icsd_078867_1,LiHf2HgBr11,False,15,504.22,-3.5248,-3.5211,-3.547,-0.9448,-0.9671,-0.0399,mv-5967965,LiHf2HgBr11,0.086,-57.288,-1.552,1.234,15.6,5.1,0.33
Na1Zr1Br5_icsd_069563_1,NaZrBr5,False,14,494.28,-3.7388,-3.7038,-3.73,-0.1636,-0.1548,-0.0391,mv-20720387,NaZrBr5,0.026,-111.407,-1.413,3.085,12.1,6.3,0.0
K2Ti1W1N4_icsd_034564_1,K2TiWN4,False,32,598.07,-7.0141,-6.9985,-7.09,-0.2666,-0.3425,-0.0386,,,,,,,,,
K4Hf1S4_icsd_037268_1,K4HfS4,False,18,611.11,-4.6273,-4.6276,-4.631,-0.1457,-0.1494,-0.037,mv-14900040,K4HfS4,-0.156,-86.828,-1.7,2.006,21.2,10.0,0.0
K4Sn1S4_icsd_280251_1,K4SnS4,False,36,1222.77,-3.823,-3.8176,-3.83,-0.1425,-0.1495,-0.0368,mv-21134928,K4SnS4,-0.043,-137.839,-1.361,2.355,16.8,8.9,0.0
K2W3Sn1N8_icsd_020114_1,K2SnW3N8,False,28,558.32,-7.5391,-7.5082,-7.598,-0.1341,-0.1931,-0.0362,,,,,,,,,
Na1Sc1Al2F2Br8_icsd_408052_1,NaScAl2(Br4F)2,False,28,932.24,-3.344,-3.2776,-3.933,-0.195,-0.7838,-0.0359,,,,,,,,,
K1Y1Al2Br8I2_icsd_408052_1,KYAl2(IBr4)2,False,28,1210.68,-3.214,-3.111,-3.479,-0.653,-0.9177,-0.0356,,,,,,,,,
Li1Sc1Al1Br7_icsd_085712_1,LiScAlBr7,False,20,722.16,-3.5941,-3.5198,-3.649,-1.2381,-1.2929,-0.0355,,,,,,,,,
K2Zr1S3_icsd_025019_1,K2ZrS3,False,48,1258.33,-5.0145,-5.0164,-5.04,-0.1531,-0.1786,-0.0342,mv-7216240,K2ZrS3,-0.115,-127.493,-1.821,1.797,44.3,22.7,0.01
Li1Sc2Hg1I9_icsd_281502_1,LiSc2HgI9,False,26,1283.03,-2.8247,-2.7662,-2.983,-0.3632,-0.5215,-0.034,,,,,,,,,
K2Ti1W3N8_icsd_020114_1,K2TiW3N8,False,28,548.18,-7.8066,-7.7957,-7.99,-0.1289,-0.3124,-0.0338,,,,,,,,,
Li1La2N4P1_icsd_071623_1,LiLa2PN4,False,32,431.31,-7.3124,-7.1547,-7.227,-0.1527,-0.0673,-0.0337,,,,,,,,,
K1Al1Br4_icsd_169708_1,KAlBr4,False,24,973.39,-3.3232,-3.3038,-3.31,-0.9633,-0.9501,-0.0336,mv-31580096,KAlBr4,-0.013,-79.809,-1.427,4.079,9.2,4.0,0.0
Na1Sc3Cl2Br8_icsd_067711_1,NaSc3(Br4Cl)2,False,14,474.3,-3.676,-3.5931,-4.03,-0.567,-0.9208,-0.0335,,,,,,,,,
K3Y1W1N4_icsd_078975_1,K3YWN4,False,36,686.58,-6.2676,-6.3054,-6.433,-0.1915,-0.3569,-0.0334,,,,,,,,,
K1Sn1F5_icsd_069563_1,KSnF5,False,14,283.13,-4.7312,-4.6993,-4.726,-0.1926,-0.1874,-0.0331,mv-21160741,KSnF5,0.002,-130.961,-2.947,4.447,21.4,6.5,0.0
K4Zr1S4_icsd_037268_1,K4ZrS4,False,18,613.33,-4.4514,-4.4486,-4.451,-0.1525,-0.1521,-0.033,mv-14900024,K4ZrS4,-0.114,-83.469,-1.677,2.365,21.5,9.7,0.0
K2Si2S5_icsd_411028_1,K2Si2S5,False,36,1008.52,-4.7236,-4.7485,-4.754,-0.1751,-0.2055,-0.0328,mv-22097742,K2Si2S5,-0.197,-170.984,-1.357,2.903,23.6,9.5,0.0
K4Si1S4_icsd_245409_1,K4SiS4,False,9,261.4,-4.0612,-4.0514,-4.075,-0.2,-0.2138,-0.0327,mv-22675759,K4SiS4,-0.247,-36.992,-1.459,2.935,18.0,11.8,0.0
Li1Hf1Zn2Br9_icsd_180336_2,LiHfZn2Br9,False,26,995.46,-2.8319,-2.7923,-3.298,-0.1598,-0.6259,-0.0324,,,,,,,,,
K1Sc2Al1Cl2Br8_icsd_072364_2,KSc2Al(Br4Cl)2,False,28,927.03,-3.3508,-3.2851,-3.869,-0.5056,-1.0237,-0.0323,,,,,,,,,
K1Sc1Al2Br8I2_icsd_408052_1,KScAl2(IBr4)2,False,28,1136.81,-3.111,-2.995,-3.399,-0.742,-1.0306,-0.0318,,,,,,,,,
K1Al1Si1S4_icsd_073694_2,KAlSiS4,False,28,770.91,-4.858,-4.8429,-4.896,-0.1361,-0.1741,-0.0316,mv-28538456,KAlSiS4,-0.15,-136.527,-1.405,2.92,22.5,10.6,0.0
K2Ti1W2N6_icsd_020837_1,K2Ti(WN3)2,False,22,440.55,-7.4709,-7.4609,-7.694,-0.1315,-0.3546,-0.0313,,,,,,,,,
Na1Hf2Cd1Br11_icsd_078867_1,NaHf2CdBr11,False,15,511.81,-3.6564,-3.6412,-3.657,-0.9878,-0.9884,-0.0313,mv-5967981,NaHf2CdBr11,0.077,-58.691,-1.655,2.449,14.5,6.4,0.0
Na1Hf2Hg1Br11_icsd_078867_1,NaHf2HgBr11,False,15,523.44,-3.5214,-3.5088,-3.532,-0.9758,-0.9865,-0.0294,mv-5967987,NaHf2HgBr11,0.063,-57.065,-1.576,0.041,14.0,6.7,0.44
Li1Sc2Hg1Br9_icsd_281502_1,LiSc2HgBr9,False,26,968.82,-3.3147,-3.2478,-3.439,-1.0301,-1.1545,-0.0291,,,,,,,,,
K1W1Cd1N3_icsd_030910_1,KCdWN3,False,24,413.06,-6.3341,-6.2194,-6.325,-0.2269,-0.2178,-0.0287,,,,,,,,,
K1Hf1Br4I1_icsd_009027_1,KHfIBr4,False,28,1174.57,-3.834,-3.8178,-3.968,-0.796,-0.9295,-0.0283,,,,,,,,,
K6W1N4_icsd_280585_1,K6WN4,False,22,471.44,-4.6513,-4.6336,-4.693,-0.2501,-0.2918,-0.0271,mp-1246724,K6WN4,0.114,-109.591,-0.39,1.366,35.1,23.2,0.01
Na1Sc2F6Br1_icsd_035428_1,NaSc2BrF6,False,40,717.87,-5.822,-5.8371,-5.895,-1.927,-2.0,-0.0271,,,,,,,,,
K1W3Cd1N7_icsd_161813_1,KCdW3N7,False,24,448.52,-7.6257,-7.6083,-7.648,-0.1133,-0.1355,-0.0266,,,,,,,,,
Li5Ge1N3_icsd_300189_1,Li5GeN3,False,36,334.46,-4.8118,-4.7754,-4.799,-0.1559,-0.1431,-0.026,mp-531553,Li5GeN3,0.011,-696.215,-0.616,2.374,81.5,81.1,0.0
Na1Sc2Ge1F11_icsd_081223_1,NaSc2GeF11,False,15,213.38,-5.7335,-5.5505,-5.739,-1.9923,-1.9978,-0.0259,,,,,,,,,
Na1Sc1Br4_icsd_402273_1,NaScBr4,False,24,775.29,-3.8722,-3.8572,-3.858,-0.8965,-0.8823,-0.0252,mv-25752402,NaScBr4,0.005,-96.392,-1.551,3.493,12.6,6.6,0.0
